"연번","업소명","지번"
"75"," 우나루"," 서울특별시 강남구 역삼동 696번지 31호 1층"
"76"," 사까나야 바로바로"," 서울특별시 강남구 삼성동 140번지 1호 2층"
"77"," 선릉마실길"," 서울특별시 강남구 삼성동 140번지 0호 지상1층"
"78"," 신촌설렁탕"," 서울특별시 강남구 삼성동 140번지 지상2층"
"79"," 통영어부애"," 서울특별시 강남구 삼성동 140번지"
"80"," 부에노스 아이레스"," 서울특별시 강남구 역삼동 694번지 11호 지하1층,지상1층"
"81"," 참전복마을"," 서울특별시 강남구 역삼동 694번지 29호 피오빌딩지상1층"
"82"," 옥천랭면"," 서울특별시 강남구 역삼동 694번지 35호 지상1층"
"83"," 에렉스에프앤비(주)용궁역삼"," 서울특별시 강남구 역삼동 701번지 7호 지상21층"
"84"," 다인식당"," 서울특별시 강남구 역삼동 702번지 2호"
"85"," 투데이"," 서울특별시 강남구 역삼동 702번지 2호"
"86"," 투데이"," 서울특별시 강남구 역삼동 702번지 2호"
"87"," 밀밭식당"," 서울특별시 강남구 역삼동 702번지 2호 삼성제일빌딩 지하1층-9,10"
"88"," 진미식당"," 서울특별시 강남구 역삼동 707번지 1호 두꺼비빌딩 지하105호"
"89"," 고향집"," 서울특별시 강남구 역삼동 707번지 1호 지하1층"
"90"," 인우네밥상"," 서울특별시 강남구 역삼동 707번지 1호 지하1층106호"
"91"," 전통비빔밥"," 서울특별시 강남구 역삼동 707번지 1호 두꺼비빌딩 지하1층-107"
"92"," 타이산(역삼점)"," 서울특별시 강남구 역삼동 707번지 1호"
"93"," 행복한 밥상"," 서울특별시 강남구 역삼동 707번지 1호 두꺼비 빌딩 지하1층-109"
"94"," 광화문 닭곰탕 & 칼국수"," 서울특별시 강남구 역삼동 702번지 10호 (지층 108-109호)"
"95"," 택사스"," 서울특별시 강남구 역삼동 702번지 10호 지상2층 202호"
"96"," 카페 메이(Cafe MAY)"," 서울특별시 강남구 역삼동 702번지 10호 아남타워 지하 123호"
"97"," 황금식당"," 서울특별시 강남구 역삼동 702번지 10호 지하1층112호,113호일부"
"98"," 샤오차이"," 서울특별시 강남구 역삼동 702번지 13호 성지하이츠1차상가지하5-1"
"99"," 성지사우나"," 서울특별시 강남구 역삼동 702번지 13호 성지하이츠빌딩 지하2층"
"100"," 다향"," 서울특별시 강남구 역삼동 702번지 13호 성지하이츠지하1층"
"101"," 시골밥상"," 서울특별시 강남구 역삼동 702번지 13호 지하1층 3호"
"102"," 부뚜막"," 서울특별시 강남구 역삼동 702번지 13호 지하1층2호"
"103"," 성지"," 서울특별시 강남구 역삼동 702번지 13호 지하1층5호"
"104"," 아마네"," 서울특별시 강남구 역삼동 702번지 13호"
"105"," 사보텐 선릉역점"," 서울특별시 강남구 역삼동 707번지 4호 외2필지 서울707타워 1층"
"106"," 오에스인터내셔널카페데베르"," 서울특별시 강남구 역삼동 702번지 19호 동훈타워1층"
"107"," 메모리스"," 서울특별시 강남구 역삼동 707번지 34호 401,403~407,417호"
"108"," 테무진"," 서울특별시 강남구 역삼동 707번지 34호 지상2층 309,310호"
"109"," 씨커피"," 서울특별시 강남구 역삼동 707번지 34호 지상2층320호"
"110"," 직화구이뚝배기한신점"," 서울특별시 강남구 역삼동 707번지 34호 지하102,103호"
"111"," 명가"," 서울특별시 강남구 역삼동 707번지 34호 지하1층"
"112"," 미러손칼국수"," 서울특별시 강남구 역삼동 707번지 34호 지하2층 제125호"
"113"," 5900직화구이역삼점"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리 지하2층 132호"
"114"," 인간중심"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리 지하2층 134호"
"115"," 포 하이 베트남쌀국수"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 B114호"
"116"," 오봉도시락역삼한신인터밸리"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 B118호"
"117"," 콩비지청국장"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 B138호"
"118"," 의정부부대찌개"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 지하2층 106, 107호"
"119"," Big mug coffee(빅머그커피)"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 지하2층104호"
"120"," 참맛집"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 지하2층129호"
"121"," 봉평메밀막국수"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24 지하2층B121호"
"122"," 몽테크리스토"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24(307.308.309호)"
"123"," 전주맛고을"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24B143호"
"124"," 하오 짬뽕"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24지하1층123호"
"125"," 산들레"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24지하1층130호"
"126"," 중화요리 일품"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리24지하2층B127호"
"127"," 소쿠리베니스"," 서울특별시 강남구 역삼동 707번지 24호 한신인터밸리322,323호"
"128"," 연지 곤지"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리B126"
"129"," 채움"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리지하2층B131호"
"130"," 종로김밥선릉한신점"," 서울특별시 강남구 역삼동 707번지 34호 한신인터밸리지하2층B135호"
